code_name,smiles,YSI,HOMO-LUMO gap,HOMO,LUMO,IP,Dipole module,Global SASA,G solv. in H2O,G of H-bonds H2O,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Second IP,Second EA,S0-T1 gap,MolLogP,Set
452,COCOCOCOCOCOC,-4.8,14.787,-10.4675,4.3196,8.5243,1.7056,422.2147,-7.5393,-1.7534,117.3124,0.0,16.0891,0.0621,0.4798,0.0072,12.4398,-1.9314,276.9992,0.1331,Training
453,CCCOCOCCC,30.8,14.7705,-10.579,4.1914,8.6074,0.3163,351.6917,-3.2831,-0.7993,96.7658,0.0,16.6247,0.0602,0.295,0.0026,12.9763,-3.1765,269.1457,1.7971,Training
454,CCCCOCOCOCCCC,42.7,14.5947,-10.4518,4.143,8.2473,1.1903,455.6103,-4.6003,-0.9611,136.8562,0.0,16.1232,0.062,0.1857,0.0013,11.8356,-2.3234,273.5324,2.551400000000001,Training
455,CCCCOCOCOCOCCCC,37.8,14.1275,-10.3283,3.7992,8.0968,1.5396,505.9941,-5.9584,-1.1652,153.693,0.0,15.7191,0.0636,0.2373,0.002,11.4566,-1.8531,271.448,2.525500000000001,Training
456,CCOCOCOCC,13.8,14.6098,-10.4496,4.1603,8.7402,1.4261,341.1727,-4.6836,-1.0924,90.1653,0.0,16.8612,0.0593,0.3097,0.0029,13.2645,-3.2237,276.9057,0.991,Training
457,CCOCOCOCOCC,11.9,14.7506,-10.4359,4.3147,8.5437,0.9886,390.4034,-5.8043,-1.3111,106.9916,0.0,16.2745,0.0615,0.4065,0.0051,12.6541,-2.4104,274.4689,0.9651,Training
458,CCCOCOCOCCC,25.5,14.64,-10.4035,4.2364,8.4763,1.2326,401.2654,-4.5669,-0.9975,113.5174,0.0,16.2917,0.0614,0.3305,0.0034,12.4302,-2.5276,272.3158,1.771199999999999,Training
459,CCCOCOCOCOCCC,21.3,14.2755,-10.5161,3.7593,8.4513,0.6189,417.8985,-5.8729,-1.1844,130.3409,0.0,16.125,0.062,0.3888,0.0047,12.4084,-2.3804,271.3821,1.7453,Training
460,COCCO,5.9,14.3583,-10.1205,4.2378,9.2505,2.1638,235.0847,-5.8152,-3.5137,49.8785,0.0,17.7035,0.0565,0.3988,0.0048,15.2207,-4.9153,266.8583,-0.374899999999999,Training
461,OCCOCCO,7.9,14.0827,-10.2663,3.8164,9.0437,1.895,280.9962,-9.6815,-6.1731,66.174,0.0,16.592,0.0603,0.7477,0.0171,14.2946,-3.3943,255.4999,-1.0124,Training
462,CCOCCOCCOCC,17.7,13.9278,-9.9903,3.9374,8.0466,1.4369,405.6942,-4.6559,-1.1469,113.3896,0.0,15.1518,0.066,0.4707,0.0077,12.2436,-1.8928,241.9967,1.076,Training
464,CC(CO)CC(C)(C)C,59.0,14.0883,-10.7824,3.3059,8.6431,1.8599,330.8092,-5.2934,-3.3677,102.9153,0.0,17.0242,0.0588,0.131,0.0006,13.3061,-3.6804,277.3536,2.051,Training
465,CCCC(CO)CCC,50.5,14.866,-10.8556,4.0104,8.4902,1.9033,352.8735,-5.3164,-3.3898,103.0091,0.0,17.054,0.0586,-0.0369,0.0,12.8427,-3.6173,281.2348,2.1951,Training
467,CCCCCCC(C)O,46.1,15.1074,-10.9373,4.1702,8.452,1.8493,364.0941,-5.0361,-3.0658,102.9205,0.0,16.7997,0.0595,0.0522,0.0002,12.7331,-3.186,281.4716,2.3376,Training
468,CCC(O)C(C)(C)C,46.0,14.1662,-10.6675,3.4988,8.6538,1.8963,305.4685,-3.9549,-2.1513,91.1414,0.0,17.4641,0.0572,-0.0783,0.0002,13.6795,-4.306,278.7156,1.8034,Validation
469,CC(C)CCC(C)O,44.7,14.6249,-10.8415,3.7834,8.6656,1.8035,323.0776,-5.1729,-3.2365,91.2619,0.0,17.3556,0.0576,-0.0122,0.0003,13.3504,-3.9194,283.3687,1.8034,Training
470,CCCCC(O)CCC,43.8,15.0099,-10.9287,4.0812,8.465,1.819,361.0711,-4.5389,-2.6259,102.9296,0.0,16.8141,0.0595,0.058,0.0003,12.7129,-3.3243,277.7938,2.3376,Validation
471,CCCCCC(O)CC,43.6,15.0232,-10.9107,4.1125,8.4368,1.8039,361.7851,-4.6395,-2.7013,102.9365,0.0,16.7533,0.0597,0.0601,0.0002,12.7204,-3.236,278.1939,2.3376,Training
472,OC1CCCCC1,42.3,14.2058,-10.6538,3.552,8.8089,1.885,267.0949,-4.2668,-2.6562,74.5163,0.0,17.7682,0.0563,-0.0752,0.0005,14.1363,-4.5436,281.3332,1.3114,Validation
473,CC(C)CC(C)O,42.0,14.829,-10.908,3.9209,8.8059,1.7955,293.6095,-4.6757,-2.8439,79.5514,0.0,17.8257,0.0561,-0.1069,0.0004,13.9147,-4.5785,286.5339,1.4133,Validation
474,CC(C)C(O)C(C)C,41.9,14.1989,-10.73,3.4689,8.639,1.9029,307.4595,-3.9164,-2.1258,91.1854,0.0,17.4084,0.0574,-0.0652,0.0001,13.594,-4.1863,277.7636,1.6593,Training
475,CCCCC(C)(C)O,41.8,14.4425,-10.7682,3.6743,8.645199999999999,1.7935,320.4349,-4.5746,-2.8111,91.1469,0.0,17.2173,0.0581,0.0366,0.0002,13.4102,-3.9295,276.3647,1.9475,Training
476,CCC(CC)CO,41.7,14.527,-10.7644,3.7626,8.811,1.8553,291.5218,-4.5011,-2.7715,79.7071,0.0,17.686,0.0565,-0.0321,0.0001,13.7843,-4.491,283.2397,1.4149,Validation
477,CCCCCCCCO,41.1,15.0873,-10.904,4.1833,8.4543,1.8534,369.003,-5.4535,-3.4822,103.0694,0.0,16.6251,0.0602,0.1418,0.0009,12.5768,-2.91,281.3918,2.339200000000001,Training
478,CC(C)(C)CCO,40.9,14.3602,-10.7852,3.575,8.8713,1.7647,287.2507,-6.115,-4.1259,79.6638,0.0,17.5461,0.057,0.0982,0.0009,13.9346,-4.2742,278.3758,1.4149,Training
479,CC(C)C(C)(C)O,40.6,14.1957,-10.7182,3.4775,8.8432,1.8045,279.429,-4.4243,-2.6743,79.4469,0.0,17.7252,0.0564,-0.0193,0.0,14.1326,-4.7063,277.5052,1.4133,Training
480,CCC(O)(CC)CC,40.5,14.0015,-10.71,3.2914,8.6413,1.7629,305.0277,-4.1465,-2.3966,91.1682,0.0,17.2686,0.0579,0.007,0.0001,13.5345,-4.2161,273.0573,1.9475,Training
481,CC(O)C(C)(C)C,40.4,14.0954,-10.6231,3.4723,8.864,1.8774,278.676,-4.2662,-2.4871,79.4905,0.0,17.9361,0.0558,-0.1041,0.0003,14.2236,-4.8306,281.361,1.4133,Validation
482,CCCCCC(C)O,39.4,15.1142,-10.9368,4.1774,8.608,1.8399,333.4653,-4.9426,-3.0306,91.2582,0.0,17.1839,0.0582,0.016,0.0001,13.1702,-3.6999,283.636,1.9475,Training
483,CCCCC(O)CC,38.5,14.9381,-10.9007,4.0374,8.6055,1.8158,330.4386,-4.5692,-2.6891,91.275,0.0,17.2126,0.0581,-0.0008,0.0001,13.164,-3.8007,281.2812,1.9475,Validation
484,CCCC(O)CCC,38.5,15.1537,-10.9459,4.2078,8.6092,1.7839,331.8293,-4.6071,-2.717,91.2678,0.0,17.1391,0.0583,0.0397,0.0001,13.1205,-3.7631,279.4639,1.9475,Training
485,CCC(C)C(C)O,37.7,14.6768,-10.8077,3.8691,8.818200000000001,1.8847,288.9221,-4.6555,-2.8326,79.5437,0.0,17.7662,0.0563,-0.0649,0.0002,13.9434,-4.6305,281.9326,1.4133,Training
486,CCCC(C)(C)O,36.4,14.494,-10.7897,3.7043,8.8244,1.7939,291.68,-4.5053,-2.7687,79.4847,0.0,17.6229,0.0567,0.013,0.0001,13.9242,-4.4614,279.0284,1.5574,Validation
