code_name,smiles,YSI,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
49,C=CCCCC,42.4,12.5334,-9.9394,2.594,8.8017,-3.499,0.3333,0,280.6229,-0.4608,-0.31,-8.0606,74.3855,0.0098,12.3006,0.0813,2.6513,0.2858,1.8757,13.9594,-1.48,125.6388,2.3626
50,C/C=C\CC,39.8,12.1734,-9.5088,2.6646,8.7597,-3.4787,0.2247,0,252.6491,-0.4242,-0.3125,-7.7962,62.7033,0.01,12.2384,0.0817,2.6405000000000003,0.2848,1.8834,14.4454,-1.1763,122.1932,1.9725
51,CC#CCCC,66.9,13.2005,-9.6288,3.5717,8.5958,-5.0873,0.1953,0,281.9029,-1.1393,-0.49,-6.9983,69.6486,0.0029,13.6831,0.0731,1.7543000000000002,0.1125,2.5547,13.8507,-2.5416,156.7175,1.8098
52,CC#CCCCC,75.2,13.1572,-9.6601,3.497,8.4032,-5.0588,0.2058,0,311.0027,-1.2201,-0.5161,-6.9935,81.3087,0.003,13.462,0.0743,1.6722,0.1039,2.6524,13.275,-2.2884,156.5668,2.1999
53,CC#CCCCCC,81.2,13.1357,-9.6741,3.4617,8.2619,-5.0366,0.2216,0,339.5559,-1.3065,-0.5392,-6.9942,92.9735,0.003,13.2985,0.0752,1.6127,0.0978,2.7278,12.8246,-2.0298,156.5277,2.59
54,C#CCCCCCC,74.1,13.5877,-10.1373,3.4503,8.5419,-5.116,0.5935,0,334.1401,-1.334,-0.5727,-7.3548,92.9953,0.0029,13.658,0.0732,1.7129,0.1075,2.5976,13.0875,-2.0969,159.8937,2.59
55,C=CCCC(=C)C,67.7,11.9889,-9.5448,2.4441,8.411,-2.2744,0.5941000000000001,0,294.7073,-0.8648,-0.3924,-7.9636,85.1963,0.0189,10.6854,0.0936,3.0683,0.4409,1.622,13.7257,1.7232,117.9727,2.5287
56,CC#CCC,54.7,13.2575,-9.6066,3.6509,8.7297,-5.1392,0.1404,0,254.8615,-1.1143,-0.479,-7.002,57.9822,0.0028,13.8689,0.0721,1.7952,0.1162,2.504,14.3942,-2.7527,157.1523,1.4197
57,C#CCCC,47.3,13.671,-10.0771,3.5938,9.2097,-5.198,0.6341,0,247.2128,-1.0848,-0.4972,-7.3657,58.0082,0.0025,14.4077,0.0694,2.0058,0.1396,2.2909,14.9822,-3.2469,160.211,1.4197
58,c1ccc(-c2ccccc2-c2ccccc2)cc1,1338.9,9.7773,-9.1493,0.628,7.5959,-0.3239,0.1821,0,439.0136,-1.7533,-0.3625,-8.4816,193.0809,0.1323,7.9198,0.1263,3.636,0.8346,1.2556,11.8241,5.1516,84.5602,5.020600000000003
