code_name,smiles,YSI
205,CC(C)CCCC1CCC(C)C(C)C1,157.9
206,CC1CCC(C)C(C)C1,82.8
207,CCCCC1CCCCC1,76.8
208,CC(C)C1CCCCC1,74.7
209,CCCC1CCCCC1,69.2
210,CC1(C)CCCCC1,67.9
211,CC1CCCC(C)C1,67.6
212,CC1CCC(C)CC1,67.6
213,C[C@H]1CCCC[C@H]1C,65.2
214,CCC1CCCCC1,60.7
215,CCC1CCCC1,58.6
216,C1CCCCCCC1,57.7
217,CC1CCCCC1,53.6
218,CC1CCCC1,50.3
219,C1CCCCCC1,50
220,C1CCCCC1,42.7
221,C1CCCC1,39.4
222,CC1=CCCC1,96.5
223,C1=CCCC1,70.2
224,C1=CCCCC1,45.6
225,CC1=CCCCC1,62
226,CC(C)(C)C1=CCCCC1,161
227,C1=C(c2ccccc2)CCCC1,468
228,C1=C\CCCCCC/1,78
229,CC1C=CCCC1,85
230,CC1CC=CCC1,61
231,C1=CCCCCC1,79
232,CN1CCCCC1,27.9
233,O=C1CCCC1,22
234,C1CCOCC1,26.5
235,COC1CCCCO1,22.1
236,CCC1CO1,18.8
237,C1COCO1,10.3
238,CCCCCCCC1CCC(=O)O1,58.2
239,CCCCCCCCCC(=O)OCC,58
240,CCCCCCCCCC(=O)OCCCC,82.6
241,CCCCOC(C)C(=O)OC,26.3
242,CCCCCCOC(C)C(=O)OC,41.6
243,CC(C)COC(=O)C(C)OCC(C)C,68.1
244,CC(C)CCOC(=O)C(C)OCCC(C)C,74.5
245,CCCCCCCCOC(C)C(=O)OCC,51.7
246,COC(=O)C(C)OCC1CC1,43.5
247,CCOC(=O)CC(OCC)OCC,27.4
248,CC(C)CCOCCCC(=O)OCCC(C)C,81.7
249,CC(C)CCOCC(=O)OCCC(C)C,70.6
250,CCOC(=O)C(C)(OCC)OCC,27.524
251,CC(C)CCOC(=O)C(OCCC(C)C)OCCC(C)C,106.952
252,CCCCCCCCCCCC(=O)OC,80.9
253,CCCCCCCCCCCCCC(=O)OC,96.1
254,CCCCCCOCCCCCC,72.5
255,CCCCCCCC/C=C/CCCCCCCC(=O)OC,136.8
256,CCCCC/C=C/C/C=C/CCCCCCCC(=O)OC,150.6
257,CC(C)COCC(C)C,61.2
258,CCCCOCOCCCC,47.7
259,CCCCCOCCCCC,49.8
260,CCOCCOCCO,15.1
261,CCCCCCOC(=O)CCCCC,66.7
262,CCCCCCCCCC(=O)OC,50.4
263,CCCCOC(CCC)CCC,60.3
264,CCCCCC(CCCCC)OCC,68.5
265,CCCCCCOC(CCC)CCC,73.3
266,CCCCCCCCCCC(=O)OC,58.5
267,c1ccoc1,24.4
268,CCOCc1ccco1,43.9
269,OCC1CCCO1,16.9
270,CC(C)(C)c1ccco1,107.5
271,Cc1ccco1,41.5
272,CCc1ccco1,46.9
273,CCCc1ccco1,53.8
274,CCCCc1ccco1,58.6
275,Cc1ccoc1C,54.6
276,Cc1ccc(C)o1,55.1
277,C1=COCC1,24.942
278,C1=CCOC1,25.115
279,CC1CCCO1,30.559
280,CC1CCC(C)O1,43.4
281,O=Cc1ccco1,28.3
282,OCc1ccco1,38.064
283,Cc1ccc(C=O)o1,44.116
284,CCC(C)CCCC(C)CCCC(C)C,109.8
285,CC(CC(C)(C)C)CC(C)(C)C,99.3
286,CC(C)CC(C)(C)C,61.7
287,CC(C)C(C)C(C)C,60.9
288,CCCCC(C)C(C)C,60.2
289,CCC(C)CC(C)C,56.1
290,CC(C)CCC(C)C,56.1
291,CC(C)C(C)(C)C,55.3
292,CCC(C)C(C)CC,55.2
293,CCCCC(C)(C)C,52.8
294,CCCCCCCCC,50.1
295,CC(C)CC(C)C,49.6
296,CCC(C)C(C)C,49.4
297,CCCCCC(C)C,49.4
298,CCCCC(C)CC,48.7
299,CCCC(C)CCC,48.1
300,CCC(C)(C)CC,47.7
301,CCCC(C)(C)C,47.4
302,CC(C)C(C)C,44
303,CCC(C)(C)C,43.4
304,CCCC(C)CC,43
305,CCCCCCCC,42.6
306,CCCCC(C)C,42.4
307,CCC(C)CC,38.2
308,CCCC(C)C,36.7
309,CCCCCCC,36
310,CCCCCC,30.4
311,CCCCC,24.6
312,CCCC(C)C(CC)CC,67.6
313,CCCCCC(CCC)C(CCCC)CCCC,121.8
314,CCCCCCC(CCCC)C(CCCCC)CCCCC,133.1
315,Nc1ccccc1,84.569
316,CCCCCCN,26.631
317,c1ccncc1,34.632
318,C1CCNCC1,23.056
319,C1COCCN1,8.768
320,C1CCNC1,13.843
321,CC(C)NC(C)C,32.007
322,CC(C)(C)N,21.097
323,CCCCN,15.042
324,CC(C)CN,23.365
325,CCC(C)N,18.558
326,CNC(C)C,18.105
327,Cc1ccccn1,64.971
328,Cc1cccnc1,66.056
329,Cc1ccncc1,65.652
330,Cc1ccccc1N,114.426
331,Cc1cccc(N)c1,119.647
332,CC1CCCCN1,27.311
333,CC1CCCNC1,33.626
334,CCCNCCC,22.455
335,CC(C)(C)CCN,40.791
336,C1=CCNCC1,32.927
337,C#CCN,25.354
338,C=CCN(C)C,34.61
339,C=CCN,30.791
340,NC=O,-3.102
341,CCNC=O,4.309
342,CCCCCNC=O,19.138
343,O=CNCCc1ccccc1,216.783
344,c1ccc2ncccc2c1,214.599
345,CCCCNCCCC,31.274
346,CCCCN(CCCC)CCCC,53.383
347,CN(C)C=O,6.55
348,CC(=O)N(C)C,9.689
349,Cc1ccc2ccccc2n1,311.187
350,CCCCNc1ccccc1,124.486
351,CCCCC(CC)CO[N+](=O)[O-],39.156
352,CCCCON=O,11.209
353,CC(C)(C)ON=O,11.193
354,CC(C)O[N+](=O)[O-],1.053
355,Cn1ccc2ccccc21,220.118
356,c1ccc2c(c1)CCN2,176.053
357,N=C(c1ccccc1)c1ccccc1,447.571
358,C1CN=C2CCCN2C1,27.892
359,c1ccc2c(c1)CCCN2,155.064
360,CC#N,1.029
361,C=CC#N,12.856
362,c1ccnnc1,15.439
363,CC(=O)n1ccc2ccccc21,187.078
364,C1CNC1,6.102
365,CC(C)(C)C(=N)C(C)(C)C,62.299
366,CCC(=O)NC,7.023
367,C1CCC2=NCCCN2CC1,45.913
368,O=[N+]([O-])c1ccccc1,98.946
369,c1cc[nH]c1,22.915
370,NCc1ccccc1,196.821
371,CCCCC#N,21.658
372,CNCc1ccccc1,193.046
373,CCNc1ccccc1,110.812
374,CNc1ccccc1,104.171
375,CCC#N,11.405
376,CC(N)c1ccccc1,143.88
377,CCCC#N,15.775
378,C1CCOC1,20.1
379,CC(O)COC(C)(C)C,44
380,CCCOC(=O)OCCC,34.5
381,COC(C)(C)CCO,33.2
382,CCCCOCC(C)O,31.7
383,CCOC(CC)OCC,27.3
384,CCCOCC(C)O,25.8
385,CC(C)OCCO,25.5
386,CCCCOCCO,25.3
387,CCOC(C)OCC,22.4
388,CCOCCOCC,20.4
389,CCC(O)COC,19.8
390,COCC(C)OC,18.6
391,CCOCOCC,18.5
392,COCCCO,17.9
393,COCC(C)O,16.4
394,COC(C)(C)OC,16.4
395,COCCOCCOC,16.1
396,CCOCCO,15.7
397,CCOC(=O)OCC,15.3
398,COCCOCCO,15
399,COC(OC)C(C)=O,14.8
400,COC(OC)(OC)OC,14.8
401,COC(C)OC,14.2
402,CC(O)CO,13.7
403,COC(OC)OC,12.8
404,COC(C)(OC)OC,12.7
405,COCCOC,11.8
406,COCOC,10.9
407,COC(=O)OC,10.5
408,COC(=O)[C@H](C)O,9.6
409,OCCO,8.2
410,CCCCC1(CCCC)CCO1,74.7
411,CCCCCCC1CCO1,52.7
412,CCCCCCCCC1CCO1,67.1
413,CCCCCCCCCC1(C)CCO1,90.2
414,CCCCC1(CCCC)COC1,89.3
415,CCCCCCCCCCC1CCO1,78.9
416,CCCCCCC1(CC)CCO1,73.2
417,CCCCCC1(CCC)CCO1,87.5
418,C=COCC1CCC(COC=C)CC1,130.5
419,Oc1ccccc1,81.3
420,COc1ccccc1O,64
421,COc1cccc(O)c1,64.1
422,COc1ccc(O)cc1,54.9
423,COc1cccc(O)c1OC,61.3
424,COc1ccc(O)cc1OC,49.5
425,COc1cccc(OC)c1O,63.3
426,COc1cc(O)cc(OC)c1,50.8
427,Cc1cccc(O)c1,107
428,Cc1ccccc1O,101.9
429,Cc1ccc(O)cc1,104.4
430,CCc1ccccc1O,118.9
431,CCc1cccc(O)c1,134.8
432,CCc1ccc(O)cc1,129.2
433,Oc1cccc(O)c1,34.1
434,Cc1ccc(O)c(O)c1,104
435,COC(C)COC(C)COC(C)CO,40.6
436,C=CC(OC)OC,15.5
437,C=CC(OCC)OCC,26.6
438,CC1(C)OCC(CO)O1,18.7
439,CC1OCCO1,11.1
440,CC1(C)OCCO1,17.4
441,CC1COC(C)(C)O1,25.6
442,CCC1(C)OCCO1,21.1
443,CCC(CC)C1OC(C)C(C)O1,57.8
444,CCCCC(CC)C1OC(C)C(C)O1,68.5
445,CCCC1OC(C)C(C)O1,36.5
446,CCCCCC1OC(C)C(C)O1,48.7
447,CCCCCCCC1OC(C)C(C)O1,63.2
448,CCCCCC(OCC)OCC,42.9
449,CCCCCCCC(OCC)OCC,59.6
450,COCOCOCOC,0.5
451,COCOCOCOCOC,-2.5
452,COCOCOCOCOCOC,-4.8
453,CCCOCOCCC,30.8
454,CCCCOCOCOCCCC,42.7
455,CCCCOCOCOCOCCCC,37.8
456,CCOCOCOCC,13.8
457,CCOCOCOCOCC,11.9
458,CCCOCOCOCCC,25.5
459,CCCOCOCOCOCCC,21.3
460,COCCO,5.9
461,OCCOCCO,7.9
462,CCOCCOCCOCC,17.7
463,CCOC(OCC)(OCC)OCC,25.1
464,CC(CO)CC(C)(C)C,59
465,CCCC(CO)CCC,50.5
466,CCCCC(CC)CO,50.4
467,CCCCCCC(C)O,46.1
468,CCC(O)C(C)(C)C,46
469,CC(C)CCC(C)O,44.7
470,CCCCC(O)CCC,43.8
471,CCCCCC(O)CC,43.6
472,OC1CCCCC1,42.3
473,CC(C)CC(C)O,42
