SMILES,YSI
COc1cc(O)cc(OC)c1,50.8
Cc1cccc(O)c1,107
Cc1ccccc1O,101.9
Cc1ccc(O)cc1,104.4
CCc1ccccc1O,118.9
CCc1cccc(O)c1,134.8
CCc1ccc(O)cc1,129.2
Oc1cccc(O)c1,34.1
Cc1ccc(O)c(O)c1,104
COC(C)COC(C)COC(C)CO,40.6
C=CC(OC)OC,15.5
C=CC(OCC)OCC,26.6
CC1(C)OCC(CO)O1,18.7
CC1OCCO1,11.1
CC1(C)OCCO1,17.4
CC1COC(C)(C)O1,25.6
CCC1(C)OCCO1,21.1
CCC(CC)C1OC(C)C(C)O1,57.8
CCCCC(CC)C1OC(C)C(C)O1,68.5
CCCC1OC(C)C(C)O1,36.5
CCCCCC1OC(C)C(C)O1,48.7
CCCCCCCC1OC(C)C(C)O1,63.2
CCCCCC(OCC)OCC,42.9
CCCCCCCC(OCC)OCC,59.6
COCOCOCOC,0.5
COCOCOCOCOC,-2.5
COCOCOCOCOCOC,-4.8
CCCOCOCCC,30.8
CCCCOCOCOCCCC,42.7
CCCCOCOCOCOCCCC,37.8
CCOCOCOCC,13.8
CCOCOCOCOCC,11.9
CCCOCOCOCCC,25.5
CCCOCOCOCOCCC,21.3
COCCO,5.9
OCCOCCO,7.9
CCOCCOCCOCC,17.7
CCOC(OCC)(OCC)OCC,25.1
CC(CO)CC(C)(C)C,59
CCCC(CO)CCC,50.5
CCCCC(CC)CO,50.4
CCCCCCC(C)O,46.1
CCC(O)C(C)(C)C,46
CC(C)CCC(C)O,44.7
CCCCC(O)CCC,43.8
CCCCCC(O)CC,43.6
OC1CCCCC1,42.3
CC(C)CC(C)O,42
CC(C)C(O)C(C)C,41.9
CCCCC(C)(C)O,41.8
CCC(CC)CO,41.7
CCCCCCCCO,41.1
CC(C)(C)CCO,40.9
CC(C)C(C)(C)O,40.6
CCC(O)(CC)CC,40.5
CC(O)C(C)(C)C,40.4
CCCCCC(C)O,39.4
CCCCC(O)CC,38.5
CCCC(O)CCC,38.5
CCC(C)C(C)O,37.7
CCCC(C)(C)O,36.4
CCC(C)CCO,36.3
CCCC(C)CO,35.8
CC(C)CCCO,35.6
CCCCCCCO,34.7
CCCCC(C)O,34.1
CCCC(O)CC,33.9
CC(C)C(C)O,33.3
CCC(C)(C)O,32.9
CCC(C)CO,32.3
CC(C)CCO,31.9
CCCC(C)O,30.2
CCCCCCO,30
CCC(O)CC,29.1
CC(C)(C)O,27.5
CC(C)CO,26.2
CCCCCO,25.4
CC[C@H](C)O,25.3
CC[C@@H](C)O,25.2
CCC(C)O,24.8
CCCCO,22
CC(C)O,19.2
CCCO,16.2
CCO,10.3
CO,6.6
CC(CC=O)CC(C)(C)C,62.3
CCCCCCCCCC=O,52.8
CCCCC(C=O)CCCC,48.2
CCCCCCCCC=O,43.7
CC(C)(C)CC=O,38.4
CCCCCCCC=O,37.5
CCCCC(C=O)CC,36.6
CCCCCCC=O,33.8
CC(C)(C)C=O,30.6
CCC(C=O)CC,29
CC(C)CC=O,27.9
CCCC(C)C=O,27.6
CCCCCC=O,26.7
CCC(C)C=O,22.7
CC(C)C=O,21.2
CCCCC=O,21.1
CCCC=O,17.6
CCC=O,13.9
CC(C)(C)C(=O)C(C)(C)C,65.8
CC(C)CC(=O)CC(C)C,55.8
CCCCCCCCC(C)=O,51.9
CCCCCCCC(=O)CC,50.2
CCCCCCCC(C)=O,45.1
CCC(=O)CC(C)CC,43.5
CCCCCCC(=O)CC,43
CC(=O)CC(C)(C)C,42.7
CC(C)C(=O)C(C)C,42.6
CCCCC(=O)CCCC,41.8
CC(=O)C(C)(C)C,40.6
CCCCCCC(C)=O,37.9
CCCCCC(=O)CC,36
CCCC(=O)C(C)C,35.9
O=C1CCCCC1,34.3
CC(=O)CC(C)C,32.8
CCC(=O)C(C)C,30.7
CCCCC(=O)CC,30.7
CCCCCC(C)=O,30.4
CCC(C)C(C)=O,29
CCCC(=O)CCC,28.5
CC(=O)C(C)C,26.6
CCCCC(C)=O,25.6
CCCC(=O)CC,25.5
CCCC(C)=O,21.1
CCC(=O)CC,21.1
CCC(C)=O,17.2
CC(C)=O,13
CCN(CC)CC,25.5
CCNCC,13.2
CCCCN(C)C,26.1
CCCCNCC,22.1
CC(=O)OCCC(C)C,43.6
CCCCOC(=O)CC,43.3
CCC(=O)OCC(C)C,41.1
CCC(=O)OC(C)(C)C,40.5
CCCCCOC(C)=O,40.4
CCCCCCCC(=O)OC,38.9
CC(C)CCOC=O,38.2
CCCOC(=O)CCC,37.3
CCOC(=O)CC(C)C,36.6
CCCC(=O)OC(C)C,36.3
CCCCOC(C)=O,36
CCCCCOC=O,35.7
CCC(C)OC(C)=O,34.9
CC(=O)OCC(C)C,34.8
CC(=O)OC(C)(C)C,32.7
CCCCCCC(=O)OC,32.5
CCCOC(=O)CC,31.9
CCCCOC=O,31
COC(=O)C(C)(C)C,30.8
CC(C)COC=O,30.4
CCC(C)(C)C(=O)O,30
CC(C)(C)OC=O,30
CCOC(=O)C(C)CC,29.3
CCCCC(=O)OCC,28.4
COC(=O)CC(C)C,28.4
